"id","job_id","details","job_type","start_time","end_time","total_runtime","info","transformations"
1,"cc3695a9-b542-4c21-b42d-3eccc9dc5713","Administration defense from experience letter.","Glue","2023-05-15 00:45:06.868969","2023-08-07 18:54:29.428857","0:00:00","""Wind night happen example law window.""","[{""Info"": {""center"": ""work"", ""method"": ""ready""}, ""Name"": ""research"", ""Details"": ""To factor red plan player training project will."", ""End Time"": ""2023-10-27 01:45:19.989458"", ""SQL Query"": ""SELECT * FROM environmental"", ""Start Time"": ""2023-11-21 20:45:19.442484"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""add"": ""knowledge"", ""away"": ""some"", ""reason"": ""reach""}, ""Name"": ""line"", ""Details"": ""Plant name I ahead shoulder."", ""End Time"": ""2023-09-02 21:08:17.470295"", ""SQL Query"": ""SELECT * FROM material"", ""Start Time"": ""2023-12-03 18:51:08.734787"", ""Total Runtime"": ""0:00:00""}]"
2,"99afd527-e486-4b00-8298-62e11c9a72af","Contain church room song well ahead.","AWS Sagemaker","2023-02-16 10:45:50.554182","2023-06-01 02:34:41.507184","0:00:00","""Modern page month participant.""","[{""Info"": {""more"": ""age"", ""chair"": ""rock"", ""animal"": ""let""}, ""Name"": ""sense"", ""Details"": ""Compare over score."", ""End Time"": ""2023-01-31 23:45:11.105315"", ""SQL Query"": ""SELECT * FROM key"", ""Start Time"": ""2023-04-10 10:41:34.183595"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""drive"": ""take"", ""successful"": ""chair""}, ""Name"": ""resource"", ""Details"": ""Protect owner box agent place often ten."", ""End Time"": ""2023-05-31 20:32:10.000776"", ""SQL Query"": ""SELECT * FROM ground"", ""Start Time"": ""2023-04-18 08:54:54.513530"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""big"": ""capital"", ""why"": ""allow"", ""call"": ""strategy""}, ""Name"": ""already"", ""Details"": ""Born require themselves Democrat investment life."", ""End Time"": ""2023-07-08 00:36:12.869372"", ""SQL Query"": ""SELECT * FROM challenge"", ""Start Time"": ""2023-04-03 12:18:41.551514"", ""Total Runtime"": ""0:00:00""}]"
3,"4902a92e-60f4-48c5-aae9-02dd344da59c","Hot me music couple back such southern.","AWS Sagemaker","2023-07-16 13:36:40.687990","2023-12-22 01:38:58.250692","0:00:00","""Both people question your culture player.""","[{""Info"": {""firm"": ""Republican"", ""agency"": ""owner"", ""service"": ""believe"", ""evidence"": ""page""}, ""Name"": ""job"", ""Details"": ""Them without business energy apply."", ""End Time"": ""2023-06-16 07:33:36.051648"", ""SQL Query"": ""SELECT * FROM where"", ""Start Time"": ""2023-10-06 23:09:42.371878"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""body"": ""finish"", ""stuff"": ""lose""}, ""Name"": ""try"", ""Details"": ""Space police father movie reduce religious only."", ""End Time"": ""2023-12-01 07:40:00.282292"", ""SQL Query"": ""SELECT * FROM among"", ""Start Time"": ""2023-02-13 12:20:39.662997"", ""Total Runtime"": ""0:00:00""}]"
4,"eb3dceab-d20d-4049-918f-9ca32b0d88f8","Least onto production.","AWS Sagemaker","2023-05-04 16:28:28.375700","2023-04-24 04:45:30.516241","0:00:00","""True citizen tree new whose southern.""","[{""Info"": {""current"": ""great"", ""television"": ""and""}, ""Name"": ""particularly"", ""Details"": ""Tell poor explain much matter."", ""End Time"": ""2023-03-26 16:22:26.038868"", ""SQL Query"": ""SELECT * FROM someone"", ""Start Time"": ""2023-06-14 01:16:49.534915"", ""Total Runtime"": ""0:00:00""}]"
5,"83edd7f8-c638-496b-b606-72e7f295c77b","Catch remain husband audience with back.","AWS Sagemaker","2023-03-12 09:59:46.771357","2023-02-09 05:01:36.356678","0:00:00","""Court much federal magazine team key.""","[{""Info"": {""partner"": ""eat""}, ""Name"": ""guess"", ""Details"": ""Option pass move else just on likely."", ""End Time"": ""2023-10-09 04:47:22.933605"", ""SQL Query"": ""SELECT * FROM majority"", ""Start Time"": ""2023-10-01 12:23:43.509586"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""first"": ""culture""}, ""Name"": ""white"", ""Details"": ""Do affect will project."", ""End Time"": ""2023-10-05 08:48:59.704310"", ""SQL Query"": ""SELECT * FROM fill"", ""Start Time"": ""2023-09-27 01:00:12.535776"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""my"": ""or"", ""issue"": ""because"", ""security"": ""cause"", ""candidate"": ""practice""}, ""Name"": ""individual"", ""Details"": ""Coach story mean though government let environmental case."", ""End Time"": ""2023-06-11 04:22:22.251356"", ""SQL Query"": ""SELECT * FROM investment"", ""Start Time"": ""2023-11-13 06:46:58.757892"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""agency"": ""hard"", ""teacher"": ""wait""}, ""Name"": ""none"", ""Details"": ""Eye rest that tend business."", ""End Time"": ""2023-04-28 19:50:03.535685"", ""SQL Query"": ""SELECT * FROM human"", ""Start Time"": ""2023-07-14 08:04:59.558254"", ""Total Runtime"": ""0:00:00""}]"
6,"31a027b0-bd4d-4fbe-8625-a5b1d4b0fea7","Approach why area economy.","Other","2023-06-18 04:01:23.717512","2023-08-19 18:36:19.439672","0:00:00","""Owner black fight determine case physical world.""","[{""Info"": {""talk"": ""trade"", ""quite"": ""mention"", ""region"": ""region"", ""account"": ""several""}, ""Name"": ""sea"", ""Details"": ""Yet most event live."", ""End Time"": ""2023-02-11 12:23:01.881743"", ""SQL Query"": ""SELECT * FROM fear"", ""Start Time"": ""2023-07-16 20:12:04.820130"", ""Total Runtime"": ""0:00:00""}]"
7,"d876c6f7-4eb3-4737-a914-8b6a05f740e3","List affect name response Republican.","Other","2023-10-31 11:58:54.916019","2023-11-08 01:37:45.604333","0:00:00","""Expert she parent not doctor deal even fly.""","[{""Info"": {""save"": ""that"", ""which"": ""job"", ""little"": ""possible"", ""nearly"": ""pull"", ""student"": ""significant""}, ""Name"": ""forward"", ""Details"": ""Natural feeling single each similar live network."", ""End Time"": ""2023-04-04 16:22:11.411441"", ""SQL Query"": ""SELECT * FROM effort"", ""Start Time"": ""2023-11-25 14:57:44.045362"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""ask"": ""up"", ""detail"": ""author""}, ""Name"": ""develop"", ""Details"": ""Green budget deal performance artist those than."", ""End Time"": ""2023-09-08 01:30:41.919874"", ""SQL Query"": ""SELECT * FROM mission"", ""Start Time"": ""2023-10-07 14:03:57.390691"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""back"": ""matter"", ""last"": ""suddenly"", ""trouble"": ""security"", ""somebody"": ""green"", ""different"": ""poor""}, ""Name"": ""same"", ""Details"": ""Executive attention bad half bag."", ""End Time"": ""2023-10-24 02:55:39.672635"", ""SQL Query"": ""SELECT * FROM understand"", ""Start Time"": ""2023-10-30 22:49:51.304064"", ""Total Runtime"": ""0:00:00""}]"
8,"bb50b0fd-d3ca-4bea-bdf4-9a0bbfefb6e0","See yes instead.","Other","2023-03-03 14:28:06.441509","2023-10-22 01:04:32.095592","0:00:00","""Accept director me.""","[{""Info"": {""tree"": ""animal"", ""appear"": ""gas""}, ""Name"": ""produce"", ""Details"": ""Training table fly level break five."", ""End Time"": ""2023-11-06 03:14:17.381283"", ""SQL Query"": ""SELECT * FROM anything"", ""Start Time"": ""2023-03-22 07:19:22.629231"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""marriage"": ""Democrat""}, ""Name"": ""several"", ""Details"": ""Me serious everyone unit attorney actually kind."", ""End Time"": ""2023-04-15 16:50:46.962709"", ""SQL Query"": ""SELECT * FROM population"", ""Start Time"": ""2023-08-06 13:02:21.509410"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""data"": ""my"", ""involve"": ""college""}, ""Name"": ""happy"", ""Details"": ""Choose building half happen."", ""End Time"": ""2023-05-09 23:49:35.009051"", ""SQL Query"": ""SELECT * FROM produce"", ""Start Time"": ""2023-10-15 19:37:45.995338"", ""Total Runtime"": ""0:00:00""}]"
16,"3cb2596d-a8de-405b-ab74-3002f28fe3b2","Seven much likely foreign step according land.","Other","2023-01-16 22:45:07.189845","2023-06-01 07:24:28.198849","0:00:00","""Use room fast create collection.""","[{""Info"": {""at"": ""around"", ""next"": ""north"", ""language"": ""hold""}, ""Name"": ""in"", ""Details"": ""Church operation fear value local."", ""End Time"": ""2023-02-15 08:57:34.329537"", ""SQL Query"": ""SELECT * FROM leg"", ""Start Time"": ""2023-08-16 02:27:50.644441"", ""Total Runtime"": ""0:00:00""}]"
9,"02e8c498-57d8-4a97-8df0-49e460de0b24","Information player personal break air manager.","AWS Sagemaker","2023-02-20 12:10:23.562579","2023-05-22 20:07:17.683517","0:00:00","""Big security season suffer teacher.""","[{""Info"": {""computer"": ""hit""}, ""Name"": ""before"", ""Details"": ""Any brother perform."", ""End Time"": ""2023-09-15 20:45:59.433184"", ""SQL Query"": ""SELECT * FROM better"", ""Start Time"": ""2023-07-03 21:01:45.637051"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""town"": ""economic""}, ""Name"": ""add"", ""Details"": ""Pick try to follow new."", ""End Time"": ""2023-08-28 04:12:40.269004"", ""SQL Query"": ""SELECT * FROM physical"", ""Start Time"": ""2023-01-04 20:50:30.455769"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""send"": ""story""}, ""Name"": ""job"", ""Details"": ""Rock weight start."", ""End Time"": ""2023-06-08 17:19:55.028548"", ""SQL Query"": ""SELECT * FROM in"", ""Start Time"": ""2023-10-05 20:43:55.378885"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""travel"": ""or""}, ""Name"": ""society"", ""Details"": ""Result democratic race little."", ""End Time"": ""2023-11-09 11:46:48.229260"", ""SQL Query"": ""SELECT * FROM big"", ""Start Time"": ""2023-10-20 01:33:18.499063"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""his"": ""glass"", ""after"": ""thus"", ""again"": ""prepare"", ""truth"": ""time"", ""information"": ""Mrs""}, ""Name"": ""example"", ""Details"": ""Card test party well church."", ""End Time"": ""2023-02-06 12:48:06.946730"", ""SQL Query"": ""SELECT * FROM also"", ""Start Time"": ""2023-11-17 10:56:14.785756"", ""Total Runtime"": ""0:00:00""}]"
